00:00:00:00:00:00	Officially Xerox
00:08:AF:00:00:00	Novatec Corporation
00:08:B0:00:00:00	BKtel communications GmbH
00:08:B1:00:00:00	ProQuent Systems
00:08:B2:00:00:00	SHENZHEN COMPASS TECHNOLOGY DEVELOPMENT CO.,LTD
00:08:B3:00:00:00	Fastwel
00:08:B4:00:00:00	Syspol
00:08:B5:00:00:00	TAI GUEN ENTERPRISE CO., LTD
00:08:B6:00:00:00	RouteFree, Inc.
00:08:B7:00:00:00	HIT Incorporated
00:08:B8:00:00:00	E.F. Johnson
00:08:B9:00:00:00	Kaonmedia CO., LTD.
00:08:BA:00:00:00	Erskine Systems Ltd
00:08:BB:00:00:00	NetExcell
00:08:BC:00:00:00	Ilevo AB
00:08:BD:00:00:00	Tepg-Us
00:08:BE:00:00:00	XENPAK MSA Group
00:08:BF:00:00:00	Aptus Elektronik AB
00:08:C0:00:00:00	ASA SYSTEMS
00:08:C1:00:00:00	Avistar Communications Corporation
00:08:C2:00:00:00	Cisco Systems, Inc
00:08:C3:00:00:00	Contex A/S
00:08:C4:00:00:00	Hikari Co.,Ltd.
00:08:C5:00:00:00	Liontech Co., Ltd.
00:08:C6:00:00:00	Philips Consumer Communications
00:08:C7:00:00:00	Compaq
00:08:C8:00:00:00	Soneticom, Inc.
00:08:C9:00:00:00	TechniSat Digital GmbH
00:08:CA:00:00:00	TwinHan Technology Co.,Ltd
00:08:CB:00:00:00	Zeta Broadband Inc.
00:08:CC:00:00:00	Remotec, Inc.
00:08:CD:00:00:00	With-Net Inc
00:08:CE:00:00:00	IPMobileNet Inc.
00:08:CF:00:00:00	Nippon Koei Power Systems Co., Ltd.
00:08:D0:00:00:00	Musashi Engineering Co., LTD.
00:08:D1:00:00:00	KAREL INC.
00:08:D2:00:00:00	ZOOM Networks Inc.
00:08:D3:00:00:00	Hercules Technologies S.A.S.
00:08:D4:00:00:00	IneoQuest Technologies, Inc
00:08:D5:00:00:00	Vanguard Networks Solutions, LLC
00:08:D6:00:00:00	HASSNET Inc.
00:08:D7:00:00:00	HOW CORPORATION
00:08:D8:00:00:00	Dowkey Microwave
00:08:D9:00:00:00	Mitadenshi Co.,LTD
00:08:DA:00:00:00	SofaWare Technologies Ltd.
00:08:DB:00:00:00	Corrigent Systems
00:08:DC:00:00:00	Wiznet
00:08:DD:00:00:00	Telena Communications, Inc.
00:08:DE:00:00:00	3UP Systems
00:08:DF:00:00:00	Alistel Inc.
00:08:E0:00:00:00	ATO Technology Ltd.
00:08:E1:00:00:00	Barix AG
00:08:E2:00:00:00	Cisco Systems, Inc
00:08:E3:00:00:00	Cisco Systems, Inc
00:08:E4:00:00:00	Envenergy Inc
00:08:E5:00:00:00	IDK Corporation
00:08:E6:00:00:00	Littlefeet
00:08:E7:00:00:00	SHI ControlSystems,Ltd.
00:08:E8:00:00:00	Excel Master Ltd.
00:08:E9:00:00:00	Nextgig
00:08:EA:00:00:00	Motion Control Engineering, Inc
00:08:EB:00:00:00	ROMWin Co.,Ltd.
00:08:EC:00:00:00	Optical Zonu Corporation
00:08:ED:00:00:00	ST&T Instrument Corp.
00:08:EE:00:00:00	Logic Product Development
00:08:EF:00:00:00	DIBAL,S.A.
00:08:F0:00:00:00	Next Generation Systems, Inc.
00:08:F1:00:00:00	Voltaire
00:08:F2:00:00:00	C&S Technology
00:08:F3:00:00:00	Wany
00:08:F4:00:00:00	Bluetake Technology Co., Ltd.
00:08:F5:00:00:00	YESTECHNOLOGY Co.,Ltd.
00:08:F6:00:00:00	Sumitomo Electric Industries,Ltd
00:08:F7:00:00:00	Hitachi Ltd, Semiconductor & Integrated Circuits Gr
00:08:F8:00:00:00	UTC CCS
00:08:F9:00:00:00	Artesyn Embedded Technologies
00:08:FA:00:00:00	Karl E.Brinkmann GmbH
00:08:FB:00:00:00	SonoSite, Inc.
00:08:FC:00:00:00	Gigaphoton Inc.
00:08:FD:00:00:00	BlueKorea Co., Ltd.
00:08:FE:00:00:00	UNIK C&C Co.,Ltd.
00:08:FF:00:00:00	Trilogy Communications Ltd
00:09:00:00:00:00	Tmt
00:09:01:00:00:00	Shenzhen Shixuntong Information & Technoligy Co
00:09:02:00:00:00	Redline Communications Inc.
00:09:03:00:00:00	Panasas, Inc
00:09:04:00:00:00	MONDIAL electronic
00:09:05:00:00:00	iTEC Technologies Ltd.
00:09:06:00:00:00	Esteem Networks
00:09:07:00:00:00	Chrysalis Development
00:09:08:00:00:00	VTech Technology Corp.
00:09:09:00:00:00	Telenor Connect A/S
00:09:0A:00:00:00	SnedFar Technology Co., Ltd.
00:09:0B:00:00:00	MTL  Instruments PLC
00:09:0C:00:00:00	Mayekawa Mfg. Co. Ltd.
00:09:0D:00:00:00	LEADER ELECTRONICS CORP.
00:09:0E:00:00:00	Helix Technology Inc.
00:09:0F:00:00:00	Fortinet Inc.
00:09:10:00:00:00	Simple Access Inc.
00:09:11:00:00:00	Cisco Systems, Inc
00:09:12:00:00:00	Cisco Systems, Inc
00:09:13:00:00:00	SystemK Corporation
00:09:14:00:00:00	COMPUTROLS INC.
00:09:15:00:00:00	CAS Corp.
00:09:16:00:00:00	Listman Home Technologies, Inc.
00:09:17:00:00:00	WEM Technology Inc
00:09:18:00:00:00	SAMSUNG TECHWIN CO.,LTD
00:09:19:00:00:00	MDS Gateways
00:09:1A:00:00:00	Macat Optics & Electronics Co., Ltd.
00:09:1B:00:00:00	Digital Generation Inc.
00:09:1C:00:00:00	CacheVision, Inc
00:09:1D:00:00:00	Proteam Computer Corporation
00:09:1E:00:00:00	Firstech Technology Corp.
00:09:1F:00:00:00	A&D Co., Ltd.
00:09:20:00:00:00	EpoX COMPUTER CO.,LTD.
00:09:21:00:00:00	Planmeca Oy
00:09:22:00:00:00	TST Biometrics GmbH
00:09:23:00:00:00	Heaman System Co., Ltd
00:09:24:00:00:00	Telebau GmbH
00:09:25:00:00:00	VSN Systemen BV
00:09:26:00:00:00	YODA COMMUNICATIONS, INC.
00:09:27:00:00:00	TOYOKEIKI CO.,LTD.
00:09:28:00:00:00	Telecore
00:09:29:00:00:00	Sanyo Industries (UK) Limited
00:09:2A:00:00:00	MYTECS Co.,Ltd.
00:09:2B:00:00:00	iQstor Networks, Inc.
00:09:2C:00:00:00	Hitpoint Inc.
00:09:2D:00:00:00	HTC Corporation
00:09:2E:00:00:00	B&Tech System Inc.
00:09:2F:00:00:00	Akom Technology Corporation
00:09:30:00:00:00	AeroConcierge Inc.
00:09:31:00:00:00	Future Internet, Inc.
00:09:32:00:00:00	Omnilux
00:09:33:00:00:00	Ophit Co.Ltd.
00:09:34:00:00:00	Dream-Multimedia-Tv GmbH
00:09:35:00:00:00	Sandvine Incorporated
00:09:36:00:00:00	Ipetronik GmbH & Co. KG
00:09:37:00:00:00	Inventec Appliance Corp
00:09:38:00:00:00	Allot Communications
00:09:39:00:00:00	ShibaSoku Co.,Ltd.
00:09:3A:00:00:00	Molex
00:09:3B:00:00:00	HYUNDAI NETWORKS INC.
00:09:3C:00:00:00	Jacques Technologies P/L
00:09:3D:00:00:00	Newisys,Inc.
00:09:3E:00:00:00	C&I Technologies
00:09:3F:00:00:00	Double-Win Enterpirse CO., LTD
00:09:40:00:00:00	AGFEO GmbH & Co. KG
00:09:41:00:00:00	Allied Telesis R&D Center K.K.
00:09:42:00:00:00	Wireless Technologies, Inc
00:09:43:00:00:00	Cisco Systems, Inc
00:09:44:00:00:00	Cisco Systems, Inc
00:09:45:00:00:00	Palmmicro Communications Inc
00:09:46:00:00:00	Cluster Labs GmbH
00:09:47:00:00:00	Aztek, Inc.
00:09:48:00:00:00	Vista Control Systems, Corp.
00:09:49:00:00:00	Glyph Technologies Inc.
00:09:4A:00:00:00	Homenet Communications
00:09:4B:00:00:00	FillFactory NV
00:09:4C:00:00:00	Communication Weaver Co.,Ltd.
00:09:4D:00:00:00	Braintree Communications Pty Ltd
00:09:4E:00:00:00	BARTECH SYSTEMS INTERNATIONAL, INC
00:09:4F:00:00:00	elmegt GmbH & Co. KG
00:09:50:00:00:00	Independent Storage Corporation
00:09:51:00:00:00	Apogee Imaging Systems
00:09:52:00:00:00	Auerswald GmbH & Co. KG
00:09:53:00:00:00	Linkage System Integration Co.Ltd.
00:09:54:00:00:00	AMiT spol. s. r. o.
00:09:55:00:00:00	Young Generation International Corp.
00:09:56:00:00:00	Network Systems Group, Ltd. (NSG)
00:09:57:00:00:00	Supercaller, Inc.
00:09:58:00:00:00	INTELNET S.A.
00:09:59:00:00:00	Sitecsoft
00:09:5A:00:00:00	RACEWOOD TECHNOLOGY
00:09:5B:00:00:00	Netgear
00:09:5C:00:00:00	Philips Medical Systems - Cardiac and Monitoring Systems (CM
00:09:5D:00:00:00	Dialogue Technology Corp.
00:09:5E:00:00:00	Masstech Group Inc.
00:09:5F:00:00:00	Telebyte, Inc.
00:09:60:00:00:00	YOZAN Inc.
00:09:61:00:00:00	Switchgear and Instrumentation Ltd
00:09:62:00:00:00	Sonitor Technologies AS
00:09:63:00:00:00	Dominion Lasercom Inc.
00:09:64:00:00:00	Hi-Techniques, Inc.
00:09:65:00:00:00	HyunJu Computer Co., Ltd.
00:09:66:00:00:00	Thales Navigation
00:09:67:00:00:00	Tachyon, Inc
00:09:68:00:00:00	TECHNOVENTURE, INC.
00:09:69:00:00:00	Meret Optical Communications
00:09:6A:00:00:00	Cloverleaf Communications Inc.
00:09:6B:00:00:00	IBM Corp
00:09:6C:00:00:00	Imedia Semiconductor Corp.
00:09:6D:00:00:00	Powernet Technologies Corp.
00:09:6E:00:00:00	GIANT ELECTRONICS LTD.
00:09:6F:00:00:00	Beijing Zhongqing Elegant Tech. Corp.,Limited
00:09:70:00:00:00	Vibration Research Corporation
00:09:71:00:00:00	Time Management, Inc.
00:09:72:00:00:00	Securebase,Inc
00:09:73:00:00:00	Lenten Technology Co., Ltd.
00:09:74:00:00:00	Innopia Technologies, Inc.
00:09:75:00:00:00	fSONA Communications Corporation
00:09:76:00:00:00	Datasoft ISDN Systems GmbH
00:09:77:00:00:00	Brunner Elektronik AG
00:09:78:00:00:00	AIJI System Co., Ltd.
00:09:79:00:00:00	Advanced Television Systems Committee, Inc.
00:09:7A:00:00:00	Louis Design Labs.
00:09:7B:00:00:00	Cisco Systems, Inc
00:09:7C:00:00:00	Cisco Systems, Inc
00:09:7D:00:00:00	SecWell Networks Oy
00:09:7E:00:00:00	IMI TECHNOLOGY CO., LTD
00:09:7F:00:00:00	Vsecure 2000 LTD.
00:09:80:00:00:00	Power Zenith Inc.
00:09:81:00:00:00	Newport Networks
00:09:82:00:00:00	Loewe Opta GmbH
00:09:83:00:00:00	GlobalTop Technology, Inc.
00:09:84:00:00:00	MyCasa Network Inc.
00:09:85:00:00:00	Auto Telecom Company
00:09:86:00:00:00	Metalink LTD.
00:09:87:00:00:00	NISHI NIPPON ELECTRIC WIRE & CABLE CO.,LTD.
00:09:88:00:00:00	Nudian Electron Co., Ltd.
00:09:89:00:00:00	VividLogic Inc.
00:09:8A:00:00:00	EqualLogic Inc
00:09:8B:00:00:00	Entropic Communications, Inc.
00:09:8C:00:00:00	Option Wireless Sweden
00:09:8D:00:00:00	Velocity Semiconductor
00:09:8E:00:00:00	ipcas GmbH
00:09:8F:00:00:00	Cetacean Networks
00:09:90:00:00:00	ACKSYS Communications & systems
00:09:91:00:00:00	GE Fanuc Automation Manufacturing, Inc.
00:09:92:00:00:00	InterEpoch Technology,INC.
00:09:93:00:00:00	Visteon Corporation
00:09:94:00:00:00	Cronyx Engineering
00:09:95:00:00:00	Castle Technology Ltd
00:09:96:00:00:00	Rdi
00:09:97:00:00:00	Nortel Networks
00:09:98:00:00:00	Capinfo Company Limited
00:09:99:00:00:00	CP GEORGES RENAULT
00:09:9A:00:00:00	ELMO COMPANY, LIMITED
00:09:9B:00:00:00	Western Telematic Inc.
00:09:9C:00:00:00	Naval Research Laboratory
00:09:9D:00:00:00	Haliplex Communications
00:09:9E:00:00:00	Testech, Inc.
00:09:9F:00:00:00	VIDEX INC.
00:09:A0:00:00:00	Microtechno Corporation
00:09:A1:00:00:00	Telewise Communications, Inc.
00:09:A2:00:00:00	Interface Co., Ltd.
00:09:A3:00:00:00	Leadfly Techologies Corp. Ltd.
00:09:A4:00:00:00	HARTEC Corporation
00:09:A5:00:00:00	HANSUNG ELETRONIC INDUSTRIES DEVELOPMENT CO., LTD
00:09:A6:00:00:00	Ignis Optics, Inc.
00:09:A7:00:00:00	Bang & Olufsen A/S
00:09:A8:00:00:00	Eastmode Pte Ltd
00:09:A9:00:00:00	Ikanos Communications
00:09:AA:00:00:00	Data Comm for Business, Inc.
00:09:AB:00:00:00	Netcontrol Oy
00:09:AC:00:00:00	Lanvoice
00:09:AD:00:00:00	HYUNDAI SYSCOMM, INC.
00:09:AE:00:00:00	OKANO ELECTRIC CO.,LTD
00:09:AF:00:00:00	e-generis
00:09:B0:00:00:00	Onkyo Corporation
00:09:B1:00:00:00	Kanematsu Electronics, Ltd.
00:09:B2:00:00:00	L&F Inc.
00:09:B3:00:00:00	MCM Systems Ltd
00:09:B4:00:00:00	KISAN TELECOM CO., LTD.
00:09:B5:00:00:00	3J Tech. Co., Ltd.
00:09:B6:00:00:00	Cisco Systems, Inc
00:09:B7:00:00:00	Cisco Systems, Inc
00:09:B8:00:00:00	Entise Systems
00:09:B9:00:00:00	Action Imaging Solutions
00:09:BA:00:00:00	MAKU Informationstechik GmbH
00:09:BB:00:00:00	MathStar, Inc.
00:09:BC:00:00:00	Digital Safety Technologies, Inc
00:09:BD:00:00:00	Epygi Technologies, Ltd.
00:09:BE:00:00:00	Mamiya-OP Co.,Ltd.
00:09:BF:00:00:00	Nintendo Co., Ltd.
00:09:C0:00:00:00	6wind
00:09:C1:00:00:00	PROCES-DATA A/S
00:09:C2:00:00:00	Onity, Inc.
00:09:C3:00:00:00	Netas
00:09:C4:00:00:00	Medicore Co., Ltd
00:09:C5:00:00:00	KINGENE Technology Corporation
00:09:C6:00:00:00	Visionics Corporation
00:09:C7:00:00:00	Movistec
00:09:C8:00:00:00	SINAGAWA TSUSHIN KEISOU SERVICE
00:09:C9:00:00:00	BlueWINC Co., Ltd.
00:09:CA:00:00:00	iMaxNetworks(Shenzhen)Limited.
00:09:CB:00:00:00	Hbrain
00:09:CC:00:00:00	Moog GmbH
00:09:CD:00:00:00	HUDSON SOFT CO.,LTD.
00:09:CE:00:00:00	SpaceBridge Semiconductor Corp.
00:09:CF:00:00:00	iAd GmbH
00:09:D0:00:00:00	Solacom Technologies Inc.
00:09:D1:00:00:00	SERANOA NETWORKS INC
00:09:D2:00:00:00	Mai Logic Inc.
00:09:D3:00:00:00	Western DataCom Co., Inc.
00:09:D4:00:00:00	Transtech Networks
00:09:D5:00:00:00	Signal Communication, Inc.
00:09:D6:00:00:00	KNC One GmbH
00:09:D7:00:00:00	DC Security Products
00:09:D8:00:00:00	Fält Communications AB
00:09:D9:00:00:00	Neoscale Systems, Inc
00:09:DA:00:00:00	Control Module Inc.
00:09:DB:00:00:00	Espace
00:09:DC:00:00:00	Galaxis Technology AG
00:09:DD:00:00:00	Mavin Technology Inc.
00:09:DE:00:00:00	Samjin Information & Communications Co., Ltd.
00:09:DF:00:00:00	Vestel Komunikasyon Sanayi ve Ticaret A.S.
00:09:E0:00:00:00	XEMICS S.A.
00:09:E1:00:00:00	Gemtek Technology Co., Ltd.
00:09:E2:00:00:00	Sinbon Electronics Co., Ltd.
00:09:E3:00:00:00	Angel Iglesias S.A.
00:09:E4:00:00:00	K Tech Infosystem Inc.
00:09:E5:00:00:00	Hottinger Baldwin Messtechnik GmbH
00:09:E6:00:00:00	Cyber Switching Inc.
00:09:E7:00:00:00	ADC Techonology
00:09:E8:00:00:00	Cisco Systems, Inc
00:09:E9:00:00:00	Cisco Systems, Inc
00:09:EA:00:00:00	YEM Inc.
00:09:EB:00:00:00	HuMANDATA LTD.
00:09:EC:00:00:00	Daktronics, Inc.
00:09:ED:00:00:00	CipherOptics
00:09:EE:00:00:00	MEIKYO ELECTRIC CO.,LTD
00:09:EF:00:00:00	Vocera Communications
00:09:F0:00:00:00	Shimizu Technology Inc.
00:09:F1:00:00:00	Yamaki Electric Corporation
00:09:F2:00:00:00	Cohu, Inc., Electronics Division
00:09:F3:00:00:00	WELL Communication Corp.
00:09:F4:00:00:00	Alcon Laboratories, Inc.
00:09:F5:00:00:00	Emerson Network Power Co.,Ltd
00:09:F6:00:00:00	Shenzhen Eastern Digital Tech Ltd.
00:09:F7:00:00:00	SED, a division of Calian
00:09:F8:00:00:00	UNIMO TECHNOLOGY CO., LTD.
00:09:F9:00:00:00	ART JAPAN CO., LTD.
00:09:FB:00:00:00	Philips Patient Monitoring
00:09:FC:00:00:00	IPFLEX Inc.
00:09:FD:00:00:00	Ubinetics Limited
00:09:FE:00:00:00	Daisy Technologies, Inc.
00:09:FF:00:00:00	X.net 2000 GmbH
00:0A:00:00:00:00	Mediatek Corp.
00:0A:01:00:00:00	SOHOware, Inc.
00:0A:02:00:00:00	ANNSO CO., LTD.
00:0A:03:00:00:00	ENDESA SERVICIOS, S.L.
00:0A:04:00:00:00	3Com Ltd
00:0A:05:00:00:00	Widax Corp.
00:0A:06:00:00:00	Teledex LLC
00:0A:07:00:00:00	WebWayOne Ltd
00:0A:08:00:00:00	Alpine Electronics, Inc.
00:0A:09:00:00:00	TaraCom Integrated Products, Inc.
00:0A:0A:00:00:00	SUNIX Co., Ltd.
00:0A:0B:00:00:00	Sealevel Systems, Inc.
00:0A:0C:00:00:00	Scientific Research Corporation
00:0A:0D:00:00:00	FCI Deutschland GmbH
00:0A:0E:00:00:00	Invivo Research Inc.
00:0A:0F:00:00:00	Ilryung Telesys, Inc
00:0A:10:00:00:00	FAST media integrations AG
00:0A:11:00:00:00	ExPet Technologies, Inc
00:0A:12:00:00:00	Azylex Technology, Inc
00:0A:13:00:00:00	Honeywell Video Systems
00:0A:14:00:00:00	TECO a.s.
00:0A:15:00:00:00	Silicon Data, Inc
00:0A:16:00:00:00	Lassen Research
00:0A:17:00:00:00	NESTAR COMMUNICATIONS, INC
00:0A:18:00:00:00	Vichel Inc.
00:0A:19:00:00:00	Valere Power, Inc.
00:0A:1A:00:00:00	Imerge Ltd
00:0A:1B:00:00:00	Stream Labs
00:0A:1C:00:00:00	Bridge Information Co., Ltd.
00:0A:1D:00:00:00	Optical Communications Products Inc.
00:0A:1E:00:00:00	Red-M Products Limited
00:0A:1F:00:00:00	ART WARE Telecommunication Co., Ltd.
00:0A:20:00:00:00	SVA Networks, Inc.
00:0A:21:00:00:00	Integra Telecom Co. Ltd
00:0A:22:00:00:00	Amperion Inc
00:0A:23:00:00:00	Parama Networks Inc
00:0A:24:00:00:00	Octave Communications
00:0A:25:00:00:00	CERAGON NETWORKS
00:0A:26:00:00:00	CEIA S.p.A.
00:0A:27:00:00:00	Apple, Inc.
00:0A:28:00:00:00	Motorola
00:0A:29:00:00:00	Pan Dacom Networking AG
00:0A:2A:00:00:00	QSI Systems Inc.
00:0A:2B:00:00:00	Etherstuff
00:0A:2C:00:00:00	Active Tchnology Corporation
00:0A:2D:00:00:00	Cabot Communications Limited
00:0A:2E:00:00:00	MAPLE NETWORKS CO., LTD
00:0A:2F:00:00:00	Artnix Inc.
00:0A:30:00:00:00	Visteon Corporation
00:0A:31:00:00:00	HCV Consulting
00:0A:32:00:00:00	Xsido Corporation
00:0A:33:00:00:00	Emulex Corporation
00:0A:34:00:00:00	Identicard Systems Incorporated
00:0A:35:00:00:00	Xilinx
00:0A:36:00:00:00	Synelec Telecom Multimedia
00:0A:37:00:00:00	Procera Networks, Inc.
00:0A:38:00:00:00	Apani Networks
00:0A:39:00:00:00	LoPA Information Technology
00:0A:3A:00:00:00	J-THREE INTERNATIONAL Holding Co., Ltd.
00:0A:3B:00:00:00	GCT Semiconductor, Inc
00:0A:3C:00:00:00	Enerpoint Ltd.
00:0A:3D:00:00:00	Elo Sistemas Eletronicos S.A.
00:0A:3E:00:00:00	EADS Telecom
00:0A:3F:00:00:00	Data East Corporation
00:0A:40:00:00:00	Crown Audio -- Harmanm International
00:0A:41:00:00:00	Cisco Systems, Inc
00:0A:42:00:00:00	Cisco Systems, Inc
00:0A:43:00:00:00	Chunghwa Telecom Co., Ltd.
00:0A:44:00:00:00	Avery Dennison Deutschland GmbH
00:0A:45:00:00:00	Audio-Technica Corp.
00:0A:46:00:00:00	ARO WELDING TECHNOLOGIES SAS
00:0A:47:00:00:00	Allied Vision Technologies
00:0A:48:00:00:00	Albatron Technology
00:0A:49:00:00:00	F5 Networks, Inc.
00:0A:4A:00:00:00	Targa Systems Ltd.
00:0A:4B:00:00:00	DataPower Technology, Inc.
00:0A:4C:00:00:00	Molecular Devices Corporation
00:0A:4D:00:00:00	Noritz Corporation
00:0A:4E:00:00:00	UNITEK Electronics INC.
00:0A:4F:00:00:00	Brain Boxes Limited
00:0A:50:00:00:00	REMOTEK CORPORATION
00:0A:51:00:00:00	GyroSignal Technology Co., Ltd.
00:0A:52:00:00:00	AsiaRF Ltd.
00:0A:53:00:00:00	Intronics, Incorporated
00:0A:54:00:00:00	Laguna Hills, Inc.
00:0A:55:00:00:00	MARKEM Corporation
00:0A:56:00:00:00	HITACHI Maxell Ltd.
00:0A:57:00:00:00	Hewlett Packard
00:0A:58:00:00:00	Freyer & Siegel Elektronik GmbH & Co. KG
00:0A:59:00:00:00	HW server
00:0A:5A:00:00:00	GreenNET Technologies Co.,Ltd.
00:0A:5B:00:00:00	Power-One as
00:0A:5C:00:00:00	Carel s.p.a.
00:0A:5D:00:00:00	FingerTec Worldwide Sdn Bhd
00:0A:5E:00:00:00	3COM Corporation
00:0A:5F:00:00:00	almedio inc.
00:0A:60:00:00:00	Autostar Technology Pte Ltd
00:0A:61:00:00:00	Cellinx Systems Inc.
00:0A:62:00:00:00	Crinis Networks, Inc.
00:0A:63:00:00:00	DHD GmbH
00:0A:64:00:00:00	Eracom Technologies
00:0A:65:00:00:00	GentechMedia.co.,ltd.
00:0A:66:00:00:00	MITSUBISHI ELECTRIC SYSTEM & SERVICE CO.,LTD.
00:0A:67:00:00:00	Ongcorp
00:0A:68:00:00:00	Solarflare Communications Inc
00:0A:69:00:00:00	SUNNY bell Technology Co., Ltd.
00:0A:6A:00:00:00	SVM Microwaves s.r.o.
00:0A:6B:00:00:00	Tadiran Telecom Business Systems LTD
00:0A:6C:00:00:00	Walchem Corporation
00:0A:6D:00:00:00	EKS Elektronikservice GmbH
00:0A:6E:00:00:00	Harmonic, Inc
00:0A:6F:00:00:00	ZyFLEX Technologies Inc
00:0A:70:00:00:00	MPLS Forum
00:0A:71:00:00:00	Avrio Technologies, Inc
00:0A:72:00:00:00	STEC, INC.
00:0A:73:00:00:00	Scientific Atlanta
00:0A:74:00:00:00	Manticom Networks Inc.
00:0A:75:00:00:00	Caterpillar, Inc
00:0A:76:00:00:00	Beida Jade Bird Huaguang Technology Co.,Ltd
00:0A:77:00:00:00	Bluewire Technologies LLC
00:0A:78:00:00:00	Olitec
00:0A:79:00:00:00	corega K.K
00:0A:7A:00:00:00	Kyoritsu Electric Co., Ltd.
00:0A:7B:00:00:00	Cornelius Consult
00:0A:7C:00:00:00	Tecton Ltd
00:0A:7D:00:00:00	Valo, Inc.
00:0A:7E:00:00:00	The Advantage Group
00:0A:7F:00:00:00	Teradon Industries, Inc
00:0A:80:00:00:00	Telkonet Inc.
00:0A:81:00:00:00	TEIMA Audiotex S.L.
00:0A:82:00:00:00	TATSUTA SYSTEM ELECTRONICS CO.,LTD.
00:0A:83:00:00:00	SALTO SYSTEMS S.L.
00:0A:84:00:00:00	Rainsun Enterprise Co., Ltd.
00:0A:85:00:00:00	PLAT'C2,Inc
00:0A:86:00:00:00	Lenze
00:0A:87:00:00:00	Integrated Micromachines Inc.
00:0A:88:00:00:00	InCypher S.A.
00:0A:89:00:00:00	Creval Systems, Inc.
00:0A:8A:00:00:00	Cisco Systems, Inc
00:0A:8B:00:00:00	Cisco Systems, Inc
00:0A:8C:00:00:00	Guardware Systems Ltd.
00:0A:8D:00:00:00	EUROTHERM LIMITED
00:0A:8E:00:00:00	Invacom Ltd
00:0A:8F:00:00:00	Aska International Inc.
00:0A:90:00:00:00	Bayside Interactive, Inc.
00:0A:91:00:00:00	HemoCue AB
00:0A:92:00:00:00	Presonus Corporation
00:0A:93:00:00:00	W2 Networks, Inc.
00:0A:94:00:00:00	ShangHai cellink CO., LTD
00:0A:95:00:00:00	Apple, Inc.
00:0A:96:00:00:00	MEWTEL TECHNOLOGY INC.
00:0A:97:00:00:00	SONICblue, Inc.
00:0A:98:00:00:00	M+F Gwinner GmbH & Co
00:0A:99:00:00:00	Calamp Wireless Networks Inc
00:0A:9A:00:00:00	Aiptek International Inc
00:0A:9B:00:00:00	TB Group Inc
00:0A:9C:00:00:00	Server Technology, Inc.
00:0A:9D:00:00:00	King Young Technology Co. Ltd.
00:0A:9E:00:00:00	BroadWeb Corportation
00:0A:9F:00:00:00	Pannaway Technologies, Inc.
00:0A:A0:00:00:00	Cedar Point Communications
00:0A:A1:00:00:00	V V S Limited
00:0A:A2:00:00:00	SYSTEK INC.
00:0A:A3:00:00:00	SHIMAFUJI ELECTRIC CO.,LTD.
00:0A:A4:00:00:00	SHANGHAI SURVEILLANCE TECHNOLOGY CO,LTD
00:0A:A5:00:00:00	MAXLINK INDUSTRIES LIMITED
00:0A:A6:00:00:00	Hochiki Corporation
00:0A:A7:00:00:00	FEI Electron Optics
00:0A:A8:00:00:00	ePipe Pty. Ltd.
00:0A:A9:00:00:00	Brooks Automation GmbH
00:0A:AA:00:00:00	AltiGen Communications Inc.
00:0A:AB:00:00:00	Toyota Technical Development Corporation
00:0A:AC:00:00:00	TerraTec Electronic GmbH
00:0A:AD:00:00:00	Stargames Corporation
00:0A:AE:00:00:00	Rosemount Process Analytical
00:0A:AF:00:00:00	Pipal Systems
00:0A:B0:00:00:00	LOYTEC electronics GmbH
00:0A:B1:00:00:00	GENETEC Corporation
00:0A:B2:00:00:00	Fresnel Wireless Systems
00:0A:B3:00:00:00	Fa. GIRA
00:0A:B4:00:00:00	ETIC Telecommunications
00:0A:B5:00:00:00	Digital Electronic Network
00:0A:B6:00:00:00	COMPUNETIX, INC
00:0A:B7:00:00:00	Cisco Systems, Inc
00:0A:B8:00:00:00	Cisco Systems, Inc
00:0A:B9:00:00:00	Astera Technologies Corp.
00:0A:BA:00:00:00	Arcon Technology Limited
00:0A:BB:00:00:00	Taiwan Secom Co,. Ltd
00:0A:BC:00:00:00	Seabridge Ltd.
00:0A:BD:00:00:00	Rupprecht & Patashnick Co.
00:0A:BE:00:00:00	OPNET Technologies CO., LTD.
00:0A:BF:00:00:00	HIROTA SS
00:0A:C0:00:00:00	Fuyoh Video Industry CO., LTD.
00:0A:C1:00:00:00	Futuretel
00:0A:C2:00:00:00	Wuhan FiberHome Digital Technology Co.,Ltd.
00:0A:C3:00:00:00	eM Technics Co., Ltd.
00:0A:C4:00:00:00	Daewoo Teletech Co., Ltd
00:0A:C5:00:00:00	Color Kinetics
00:0A:C6:00:00:00	Overture Networks.
00:0A:C7:00:00:00	Unication Group
00:0A:C8:00:00:00	ZPSYS CO.,LTD. (Planning&Management)
00:0A:C9:00:00:00	Zambeel Inc
00:0A:CA:00:00:00	YOKOYAMA SHOKAI CO.,Ltd.
00:0A:CB:00:00:00	XPAK MSA Group
00:0A:CC:00:00:00	Winnow Networks, Inc.
00:0A:CD:00:00:00	Sunrich Technology Limited
00:0A:CE:00:00:00	RADIANTECH, INC.
00:0A:CF:00:00:00	PROVIDEO Multimedia Co. Ltd.
00:0A:D0:00:00:00	Niigata Develoment Center,  F.I.T. Co., Ltd.
00:0A:D1:00:00:00	Mws
